DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
05/17/2020,359,955,null,0
05/18/2020,897,907,null,0
05/19/2020,1004,867,null,0
05/20/2020,1078,830,null,0
05/21/2020,1069,824,null,0
05/22/2020,1039,847,null,0
05/23/2020,457,843,null,0
05/24/2020,467,859,null,0
05/25/2020,467,797,null,0
05/26/2020,1053,804,null,0
05/27/2020,745,757,null,0
05/28/2020,646,696,null,0
05/29/2020,646,640,null,0
05/30/2020,349,625,null,0
05/31/2020,230,591,null,0
06/01/2020,687,622,null,0
06/02/2020,574,554,null,0
06/03/2020,516,521,null,0
06/04/2020,523,504,null,0
06/05/2020,404,469,null,0
06/06/2020,246,454,null,0
06/07/2020,198,450,null,0
06/08/2020,451,416,null,0
06/09/2020,421,394,null,0
06/10/2020,365,373,null,0
06/11/2020,366,350,null,0
06/12/2020,410,351,null,0
06/13/2020,197,344,null,0
06/14/2020,180,341,null,0
06/15/2020,380,331,null,0
06/16/2020,420,331,null,0
06/17/2020,356,330,null,0
06/18/2020,378,332,null,0
06/19/2020,362,325,null,0
06/20/2020,203,326,null,0
06/21/2020,172,324,null,0
06/22/2020,398,327,null,0
06/23/2020,383,322,null,0
06/24/2020,383,326,null,0
06/25/2020,299,314,null,0
06/26/2020,314,307,null,0
06/27/2020,207,308,null,0
06/28/2020,203,312,null,0
06/29/2020,439,318,null,0
06/30/2020,442,327,null,0
07/01/2020,397,329,null,0
07/02/2020,417,346,null,0
07/03/2020,233,334,null,0
07/04/2020,120,322,null,0
07/05/2020,154,315,null,0
07/06/2020,434,314,null,0
07/07/2020,461,317,null,0
07/08/2020,437,322,null,0
07/09/2020,392,319,null,0
07/10/2020,309,330,null,0
07/11/2020,257,349,null,0
07/12/2020,224,359,null,0
07/13/2020,484,366,null,0
07/14/2020,401,358,null,0
07/15/2020,440,358,null,0
07/16/2020,417,362,null,0
07/17/2020,418,377,null,0
07/18/2020,218,372,null,0
07/19/2020,176,365,null,0
07/20/2020,401,353,null,0
07/21/2020,339,344,null,0
07/22/2020,330,328,null,0
07/23/2020,308,313,null,0
07/24/2020,299,296,null,0
07/25/2020,153,287,null,0
07/26/2020,140,281,null,0
07/27/2020,314,269,null,0
07/28/2020,311,265,null,0
07/29/2020,290,259,null,0
07/30/2020,270,254,null,0
07/31/2020,264,249,null,0
08/01/2020,189,254,null,0
08/02/2020,137,254,null,0
08/03/2020,348,258,null,0
08/04/2020,187,241,null,0
08/05/2020,299,242,null,0
08/06/2020,292,245,null,0
08/07/2020,254,244,null,0
08/08/2020,160,240,null,0
08/09/2020,133,239,null,0
08/10/2020,309,233,null,0
08/11/2020,261,244,null,0
08/12/2020,319,247,null,0
08/13/2020,276,245,null,0
08/14/2020,277,248,null,0
08/15/2020,151,247,null,0
08/16/2020,140,248,null,0
08/17/2020,327,250,null,0
08/18/2020,283,253,null,0
08/19/2020,258,245,null,0
08/20/2020,224,237,null,0
08/21/2020,251,233,null,0
08/22/2020,135,231,null,0
08/23/2020,150,233,null,0
08/24/2020,297,228,null,0
08/25/2020,282,228,null,0
08/26/2020,313,236,null,0
08/27/2020,268,242,null,0
08/28/2020,277,246,null,0
08/29/2020,128,245,null,0
08/30/2020,181,249,null,0
08/31/2020,309,251,null,0
09/01/2020,296,253,null,0
09/02/2020,276,248,null,0
09/03/2020,272,248,null,0
09/04/2020,228,241,null,0
09/05/2020,156,245,null,0
09/06/2020,206,249,null,0
09/07/2020,218,236,null,0
09/08/2020,390,249,null,0
09/09/2020,353,260,null,0
09/10/2020,323,268,null,0
09/11/2020,313,280,null,0
09/12/2020,201,286,null,0
09/13/2020,256,293,null,0
09/14/2020,433,324,null,0
09/15/2020,340,317,null,0
09/16/2020,365,319,null,0
09/17/2020,355,323,null,0
09/18/2020,286,319,null,0
09/19/2020,160,314,null,0
09/20/2020,159,300,null,0
09/21/2020,512,311,null,0
09/22/2020,406,320,null,0
09/23/2020,533,344,null,0
09/24/2020,468,361,null,0
09/25/2020,457,385,null,0
09/26/2020,279,402,null,0
09/27/2020,381,434,null,0
09/28/2020,432,422,null,0
09/29/2020,685,462,null,0
09/30/2020,586,470,null,0
10/01/2020,613,490,null,0
10/02/2020,592,510,null,0
10/03/2020,275,509,null,0
10/04/2020,341,503,null,0
10/05/2020,846,563,null,0
10/06/2020,561,545,null,0
10/07/2020,538,538,null,0
10/08/2020,514,524,null,0
10/09/2020,516,513,null,0
10/10/2020,307,518,null,0
10/11/2020,279,509,null,0
10/12/2020,473,455,null,0
10/13/2020,544,453,null,0
10/14/2020,546,454,null,0
10/15/2020,571,462,null,0
10/16/2020,466,455,null,0
10/17/2020,336,459,6000,0
10/18/2020,377,473,6000,0
10/19/2020,568,487,6000,0
10/20/2020,526,484,6000,0
10/21/2020,489,476,6000,0
10/22/2020,211,425,6000,0
10/23/2020,23,361,6000,0
